"V1","V2"
"portus",-0.270351381203519
"romanus",-0.270123641796627
"naulum",-0.267992220282647
"staggia",-0.267992220282647
"expensa",-0.263555507387177
"districtus",-0.263555507387177
"turris",-0.261722872796798
"perusio",-0.25923277886922
"capitudo",-0.25355136786823
"comitatinus",-0.240363147866812
"florentia",-0.235373611950274
"ser",-0.23268923672882
"factus",-0.228576959658376
"medietas",-0.225043399068085
"avillarius",-0.210931288153244
"hungary",-0.204304391711236
"offitium",-0.20052777290622
"lucius",-0.20052777290622
"amerigus",-0.20052777290622
"regulatus",-0.20052777290622
"vicariatus",-0.20052777290622
"limitatio",-0.20052777290622
"communibus",-0.20052777290622
"boscolus",-0.20052777290622
"vigintiquatuor",-0.20052777290622
"haucud",-0.198331756256969
"ambaxiator",-0.190985831661387
"florenus",-0.189094301179507
"culpa",-0.188387980898874
"livellus",-0.186352010846754
"fortificatio",-0.184332343025222
"perusinus",-0.184192444381781
"conventum",-0.181888824884772
"conium",-0.181888824884772
"esculus",-0.179192673541579
"hospitium",-0.177867780339068
"novus",-0.164174483075322
"pistorium",-0.163010337592693
"octo_guerre",-0.158667324055923
"pierus",-0.156662009875845
"comes",-0.153699123198857
"opus",-0.146268437403117
"petrus",-0.145926085708941
"summus",-0.140560938124368
"rector",-0.138840165209469
"expensis",-0.1210179054873
"imperator",-0.120845099329928
"fundamentum",-0.11992963418865
"indemnitas",-0.119555085174678
"affectio",-0.117326581338099
"serenitas",-0.117326581338099
"desperatio",-0.117326581338099
"sartianus",-0.117326581338099
"gebellini",-0.117326581338099
"parmam",-0.117326581338099
"tirlis",-0.115269018404662
"circulus",-0.115269018404662
"ambaxatorium",-0.110186605662849
